x_coor,y_coor
2.987827226,0.843886903
3.004150288,0.877439954
3.016513109,0.912582914
3.024676156,0.949324382
3.028417971,0.987660117
3.027533507,1.027572983
3.021841892,1.069030679
3.011192298,1.111983869
2.995465177,1.156365153
2.974579246,1.202088394
2.917219876,1.297112355
2.839356456,1.395954636
2.627078535,1.59910798
2.355168383,1.797236779
2.049967963,1.974514941
1.739990905,2.117393498
1.59095631,2.173113894
1.449000312,2.217646195
1.315704919,2.250948488
1.252641447,2.263467285
1.192079959,2.273309433
1.13406831,2.280552
1.078627643,2.285284303
1.025756278,2.287605567
0.975432268,2.287622744
0.927616517,2.285448826
0.882255691,2.281200482
0.839284528,2.274997036
0.798628642,2.266958722
0.760206719,2.257205176
0.723931628,2.245855242
0.657460018,2.218827229
0.598475027,2.186764875
0.546240892,2.15049438
0.459240558,2.068263348
0.391382407,1.977239344
0.338471527,1.881371374
0.297184908,1.783610676
0.264951755,1.686105292
0.239812017,1.590379423
0.220282451,1.497485273
0.20524653,1.408123317
0.193866483,1.322734682
0.185516037,1.241571163
0.182326349,1.202613934
0.179730067,1.164747588
0.177688032,1.127971521
0.176864345,1.109990885
0.176167196,1.092280695
0.175593283,1.074839763
0.175139631,1.057666681
0.174803479,1.04075994
0.174582305,1.024117903
0.174473873,1.007738764
0.174476236,0.991620538
0.174587617,0.975761187
0.17480644,0.960158589
